84000	86000	nmhh	H9		Hajófedélzeti rádiónavigációs alkalmazások.		
84000	86000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
84000	86000	nmhh	H5		Távmérésre szolgáló, induktív hurok technológiájú nagyon kis teljesítményű aktív orvosi implantátum rendszerek (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 195-2	
84000	86000	nmhh	H7		Induktív kis hatókörzetű személyhívók.	ECC/REC/(02)01; MSZ EN 300 224-2	
86000	90000	nmhh	ÁLLANDÓHELYŰ				
86000	90000	nmhh	H6	K	Pont-pont és pont-többpont összeköttetések.		2. melléklet II. fejezet 1. pont
86000	90000	nmhh	RÁDIÓNAVIGÁCIÓ				
86000	90000	nmhh	H3		Rádió-irányjeladók (föld-levegő).		
86000	90000	nmhh	H9		Hajófedélzeti rádiónavigációs alkalmazások.		
86000	90000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
86000	90000	nmhh	H5		Távmérésre szolgáló, induktív hurok technológiájú nagyon kis teljesítményű aktív orvosi implantátum rendszerek (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 195-2	
86000	90000	nmhh	H7		Induktív kis hatókörzetű személyhívók.	ECC/REC/(02)01; MSZ EN 300 224-2	
90000	110000	nmhh	RÁDIÓNAVIGÁCIÓ				
90000	110000	nmhh	H3	K	Rádió-irányjeladók (föld-levegő).		
90000	110000	nmhh	H4		Nagy hatótávolságú repülés útvonali (föld-levegő) hiperbolikus rádiónavigációs rendszer (Loran-C rendszer).		
90000	110000	nmhh	Állandóhelyű				
90000	110000	nmhh	H6		Pont-pont és pont-többpont összeköttetések.		2. melléklet II. fejezet 1. pont
90000	110000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
90000	110000	nmhh	H5		Távmérésre szolgáló, induktív hurok technológiájú nagyon kis teljesítményű aktív orvosi implantátum rendszerek (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 195-2	
90000	110000	nmhh	H7		Induktív kis hatókörzetű személyhívók.	ECC/REC/(02)01; MSZ EN 300 224-2	
110000	112000	nmhh	ÁLLANDÓHELYŰ				
110000	112000	nmhh	H6	K	Pont-pont és pont-többpont összeköttetések.		2. melléklet II. fejezet 1. pont
110000	112000	nmhh	RÁDIÓNAVIGÁCIÓ				
110000	112000	nmhh	H3		Rádió-irányjeladók (föld-levegő).		
110000	112000	nmhh	H4		Nagy hatótávolságú repülés útvonali (föld-levegő) hiperbolikus rádiónavigációs rendszer (Loran-C rendszer).		
110000	112000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
110000	112000	nmhh	H5		Távmérésre szolgáló, induktív hurok technológiájú nagyon kis teljesítményű aktív orvosi implantátum rendszerek (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 195-2	
110000	112000	nmhh	H7		Induktív kis hatókörzetű személyhívók.	ECC/REC/(02)01; MSZ EN 300 224-2	
112000	115000	nmhh	RÁDIÓNAVIGÁCIÓ				
112000	115000	nmhh	H3	K	Rádió-irányjeladók (föld-levegő).		
112000	115000	nmhh	H4		Nagy hatótávolságú repülés útvonali (föld-levegő) hiperbolikus rádiónavigációs rendszer (Loran-C rendszer).		
112000	115000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
112000	115000	nmhh	H5		Távmérésre szolgáló, induktív hurok technológiájú nagyon kis teljesítményű aktív orvosi implantátum rendszerek (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 195-2	
112000	115000	nmhh	H7		Induktív kis hatókörzetű személyhívók.	ECC/REC/(02)01; MSZ EN 300 224-2	
115000	117600	nmhh	RÁDIÓNAVIGÁCIÓ				
115000	117600	nmhh	H3	K	Rádió-irányjeladók (föld-levegő).		
115000	117600	nmhh	H4		Nagy hatótávolságú repülés útvonali (föld-levegő) hiperbolikus rádiónavigációs rendszer (Loran-C rendszer).		
115000	117600	nmhh	Állandóhelyű				
115000	117600	nmhh	H6		Pont-pont és pont-többpont összeköttetések.		2. melléklet II. fejezet 1. pont
115000	117600	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
115000	117600	nmhh	H5		Távmérésre szolgáló, induktív hurok technológiájú nagyon kis teljesítményű aktív orvosi implantátum rendszerek (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 195-2	
115000	117600	nmhh	H7		Induktív kis hatókörzetű személyhívók.	ECC/REC/(02)01; MSZ EN 300 224-2	
117600	126000	nmhh	ÁLLANDÓHELYŰ				
117600	126000	nmhh	H6	K	Pont-pont és pont-többpont összeköttetések.		2. melléklet II. fejezet 1. pont
117600	126000	nmhh	RÁDIÓNAVIGÁCIÓ				
117600	126000	nmhh	H3		Rádió-irányjeladók (föld-levegő).		
117600	126000	nmhh	H4		Nagy hatótávolságú repülés útvonali (föld-levegő) hiperbolikus rádiónavigációs rendszer (Loran-C rendszer).		
117600	126000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
117600	126000	nmhh	H5		Távmérésre szolgáló, induktív hurok technológiájú nagyon kis teljesítményű aktív orvosi implantátum rendszerek (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 302 195-2	
117600	126000	nmhh	H7		Induktív kis hatókörzetű személyhívók.	ECC/REC/(02)01; MSZ EN 300 224-2	
126000	129000	nmhh	RÁDIÓNAVIGÁCIÓ				
126000	129000	nmhh	H3	K	Rádió-irányjeladók (föld-levegő).		
126000	129000	nmhh	H4		Nagy hatótávolságú repülés útvonali (föld-levegő) hiperbolikus rádiónavigációs rendszer (Loran-C rendszer).		
126000	129000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
